,text,label,party,year,country
135,"Die Pandemie hat uns erneut gezeigt, wie vernetzt unsere Welt ist.",107.0,cdu,2021,9
136,Weder das Coronavirus noch der Klimawandel oder die digitale Transformation machen an Grenzen halt.,107.0,cdu,2021,9
137,"Wir können die großen weltweiten Menschheitsaufgaben nur lösen, wenn wir sie gemeinsam global anpacken.",107.0,cdu,2021,9
138,"Es ist in unserem eigenen Interesse, dass wir international mehr Verantwortung übernehmen.",107.0,cdu,2021,9
139,Die Bedingungen dafür haben sich gravierend verändert: Wir befinden uns inmitten eines weltweiten Epochenwechsels.,107.0,cdu,2021,9
140,Die große wirtschaftliche Dynamik in Asien und der Aufstieg Chinas verändern das internationale Machtgefüge.,107.0,cdu,2021,9
141,"Wir erleben die Missachtung des Völkerrechts und Regelbrüche durch bedeutende Staaten des internationalen Systems, und wir sehen, dass sich weltweit populistische Strömungen ausbreiten, auch in demokratischen Staaten.",202.1,cdu,2021,9
142,"Hinzu kommt: Neue Technologien bestimmen nicht nur unseren Alltag, sondern sind auch ein relevanter Faktor der internationalen Politik.",411.0,cdu,2021,9
143,"Es reicht nicht, auf Krisen nur zu reagieren.",104.0,cdu,2021,9
144,"Daher werden wir eine Sicherheitsarchitektur schaffen, die bessere Koordinierung und einen vorausschauenden strategischen Ansatz möglich macht.",104.0,cdu,2021,9
145,Die Grundlage unseres weltweiten politischen Handelns ist und bleibt dabei das christliche Menschenbild.,603.0,cdu,2021,9
146,"Wir bekennen uns dazu, dass Deutschland aktiv zur internationalen Krisenbewältigung und zur Gestaltung der Weltordnung beiträgt - in der Europäischen Union, der NATO, den Vereinten Nationen und weiteren internationalen Organisationen.",107.0,cdu,2021,9
149,Demokratien und autoritäre Staaten ringen um den globalen Gestaltungsanspruch im 21. Jahrhundert.,202.1,cdu,2021,9
150,"Es geht um den Fortbestand unserer freiheitlich-demokratischen Ordnung, die autoritäre Staaten in Frage stellen und zu destabilisieren versuchen.",202.1,cdu,2021,9
151,"Aus dieser Systemrivalität ergeben sich für uns die Verpflichtung und der Anspruch, die internationale regel- und wertebasierte Ordnung wieder zu stärken.",107.0,cdu,2021,9
152,"Denn sie ist Voraussetzung dafür, dass wir in Sicherheit und Frieden,",106.0,cdu,2021,9
153,Freiheit und Wohlstand leben können.,201.1,cdu,2021,9
154,"Wir wollen, dass Deutschland und Europa gestärkt aus dieser Herausforderung hervorgehen - gemeinsam mit den USA und zugleich auf eigene Fähigkeiten bedacht.",107.0,cdu,2021,9
155,"Dafür müssen wir gemeinsam die Zusammenarbeit mit unseren transatlantischen Partnern wieder ausbauen und neue handlungsfähige Strukturen mit unseren weltweiten demokratischen Partnern entwickeln, gerade im indo-pazifischen Raum und in Lateinamerika.",107.0,cdu,2021,9
156,"Dieses Bündnis der Demokratien muss prägenden Einfluss auf die globale Ordnung nehmen, insbesondere in der Klima-, Handels-, Digital- und Sicherheitspolitik.",202.1,cdu,2021,9
157,Dabei leitet uns der Gedanke der Freiheit,201.1,cdu,2021,9
158,und der unantastbaren Würde des Menschen.,201.2,cdu,2021,9
159,"Deshalb setzen wir uns für Frieden, Freiheit und Sicherheit,",106.0,cdu,2021,9
160,"für die Wahrung der Menschenrechte,",201.2,cdu,2021,9
161,"für die Einhaltung und Weiterentwicklung des Völkerrechts,",107.0,cdu,2021,9
162,für nachhaltige Entwicklung,416.2,cdu,2021,9
163,sowie den freien und fairen Welthandel ein.,407.0,cdu,2021,9
164,In unserem außenpolitischen Handeln suchen wir stets die internationale Partnerschaft und den multilateralen Ansatz.,107.0,cdu,2021,9
165,Die Vereinten Nationen (VN) und ihre Organisationen alleine können die universelle Gültigkeit ihrer Grundsätze und Ziele beanspruchen.,107.0,cdu,2021,9
166,Die Vereinten Nationen sind und bleiben daher grundlegend für die internationale Ordnung und die Bewältigung internationaler Herausforderungen.,107.0,cdu,2021,9
167,Sie müssen daher entscheidungs- und handlungsfähiger werden.,107.0,cdu,2021,9
169,"Die Menschenrechte gelten universell, sind unteilbar und unveräußerlich.",201.2,cdu,2021,9
170,"Dem Versuch autoritärer Staaten, diesen Konsens aufzuweichen, treten wir entschieden entgegen.",201.2,cdu,2021,9
171,Hierfür wollen wir die Menschenrechtsmechanismen stärken.,201.2,cdu,2021,9
172,"Kinder, Menschen mit Behinderungen oder Flüchtlinge sind dabei besonders schutzbedürftig.",201.2,cdu,2021,9
173,Wir wollen auch dem Menschenrecht auf Religionsfreiheit weltweit Geltung verschaffen und die kritische Lage religiöser Minderheiten verbessern.,201.2,cdu,2021,9
174,Insbesondere werden wir uns weiterhin beharrlich für verfolgte Christen einsetzen.,201.2,cdu,2021,9
176,Deutschland muss als stärkste Wirtschaftsnation Europas eine führende außen- und sicherheitspolitische Rolle einnehmen.,104.0,cdu,2021,9
177,"Wir müssen mehr als bisher bereit sein, zusammen mit unseren Verbündeten und Partnern unter Wahrung der völkerrechtlichen und unserer verfassungsrechtlichen Vorgaben alle Instrumente unserer Außen-, Verteidigungs- und Entwicklungspolitik anzuwenden - auch militärische, wenn dies nötig ist.",104.0,cdu,2021,9
178,"Wir wollen einen stärkeren strategischen Ansatz in der Außen- und Sicherheitspolitik in einer regelmäßig vorzulegenden nationalen Sicherheitsstrategie bündeln, die parlamentarisch erörtert wird.",104.0,cdu,2021,9
179,Wir müssen die Vernetzung der Sicherheit auch in unserer Regierung abbilden.,104.0,cdu,2021,9
180,"Daher wollen wir im Bundeskanzleramt einen Nationalen Sicherheitsrat schaffen, der außen- und sicherheitspolitische Koordinierung, strategische Vorausschau und nachrichtendienstliche Erkenntnisse des Bundes und der Länder zusammenführt.",104.0,cdu,2021,9
181,Wir werden die politischen Stiftungen weiterhin angemessen finanziell ausstatten.,202.1,cdu,2021,9
182,"Sie leisten einen wesentlichen Beitrag zur politischen Bildung, zur Studienförderung und zur wissenschaftlichen Forschung sowie im internationalen Bereich zur Stärkung der Demokratie, der Zivilgesellschaft und der Entwicklungszusammenarbeit.",202.1,cdu,2021,9
184,Die USA sind unser wichtigster weltpolitischer Partner.,107.0,cdu,2021,9
185,Mit Präsident Joe Biden verbinden wir die Chance eines neuen Aufbruchs für die transatlantische Partnerschaft.,107.0,cdu,2021,9
186,"Nur in enger Abstimmung werden wir gestaltende Impulse in der Klima-, Handels-, Wissenschafts- und Technologiepolitik setzen können.",107.0,cdu,2021,9
187,"Unser Ziel muss sein, gemeinsam den Gegnern der Freiheit zu trotzen,",201.1,cdu,2021,9
188,globale Standards zu setzen,107.0,cdu,2021,9
189,und unseren technologischen Vorsprung zu wahren und auszubauen.,411.0,cdu,2021,9
190,Hierzu ist eine weitere Vertiefung unserer Handels- und Wissenschaftsbeziehungen unabdingbar.,107.0,cdu,2021,9
191,"Unser Ziel ist ein umfassender transatlantischer Wirtschafts-, Handels- und Zukunftsraum.",107.0,cdu,2021,9
192,"Um die Technologieführerschaft des wertegebundenen Westens zu bewahren, müssen wir unsere Spitzenforschung und Produktanwendung eng abstimmen.",411.0,cdu,2021,9
193,Wir wollen zudem die gemeinsame Bekämpfung der Organisierten Kriminalität und des Terrorismus intensivieren,104.0,cdu,2021,9
194,sowie klimaaußenpolitisch mit den USA eng zusammenarbeiten.,501.0,cdu,2021,9
195,Auch mit Kanada sowie den demokratisch gefestigten Staaten Lateinamerikas und der Karibik wollen wir enger kooperieren.,107.0,cdu,2021,9
196,Den Austausch mit den USA auf gesellschaftlicher Ebene wollen wir deutlich ausbauen.,107.0,cdu,2021,9
197,Wir wissen: Völkerverständigung beginnt bei persönlichen Freundschaften und muss immer wieder neu wachsen in jeder Generation.,107.0,cdu,2021,9
198,Deshalb wollen wir ein deutsch-amerikanisches Jugendwerk einrichten und das erfolgreiche Jugendaustauschprogramm (Parlamentarisches Patenschaftsprogramm) des Bundestages mehr als verdoppeln.,107.0,cdu,2021,9
200,Die NATO ist das Rückgrat der euroatlantischen Sicherheit.,104.0,cdu,2021,9
201,"Garantiert wird diese Sicherheit durch die nukleare Teilhabe, die Beistandsklausel für den Bündnisfall und die Präsenz amerikanischer Soldaten in Europa.",104.0,cdu,2021,9
202,"Solange es Staaten mit Atomwaffen gibt, die unsere Wertegemeinschaft aktiv herausfordern, braucht Europa weiterhin den nuklearen Schutzschirm der USA und bleibt die deutsche Beteiligung an der nuklearen Teilhabe im Rahmen der NATO ein wichtiger Bestandteil einer glaubwürdigen Abschreckung im Bündnis.",104.0,cdu,2021,9
203,"Wir stehen dafür, dass Deutschland sich entschlossen zur Fortsetzung seiner nuklearen Teilhabe innerhalb der NATO bekennt und die notwendigen Mittel dafür bereitstellt.",104.0,cdu,2021,9
204,"Es muss Europas Anspruch sein, als gleichberechtigter Partner gemeinsam mit den USA für Freiheit, Frieden und Demokratie in der Welt einzustehen.",202.1,cdu,2021,9
205,"Dazu gehört, dass wir mehr Verantwortung im Verbund mit unseren Bündnispartnern übernehmen müssen - sowohl bei robusten Einsätzen als auch bei Friedensmissionen und der Entwicklungszusammenarbeit vor Ort.",107.0,cdu,2021,9
206,Wir wollen den europäischen Pfeiler in der NATO stärken.,104.0,cdu,2021,9
207,Deutschland wird im Modernisierungsjahrzehnt einen wichtigen Beitrag zur Umsetzung des Konzeptes „NATO 2030“ und zur Ausrichtung der NATO für die nächste Generation leisten.,104.0,cdu,2021,9
208,Wir Europäer müssen stärker als bisher für Stabilität in unserer Nachbarschaft Sorge tragen und für eine faire Lastenverteilung eintreten.,107.0,cdu,2021,9
209,Wir bekennen uns explizit zum 2%-Ziel der NATO.,104.0,cdu,2021,9
211,"Unsere langfristige Vision ist eine Welt, in der nukleare Waffen als Abschreckung nicht mehr nötig sind.",105.0,cdu,2021,9
212,"Wir drängen daher auf mehr Dynamik in der Rüstungskontrolle und Abrüstung und unterstützen neue Initiativen, die zu mehr Sicherheit beitragen.",105.0,cdu,2021,9
213,Unser langfristiges Ziel bleibt die vollständige Abrüstung aller nuklearen Mittelstreckenraketen und Marschflugkörper in Europa.,105.0,cdu,2021,9
214,Bestehende Abkommen müssen eingehalten werden.,104.0,cdu,2021,9
215,Wir unterstützen Maßnahmen gegen die Weiterverbreitung von Massenvernichtungswaffen und die dazugehörigen Raketentechnologien sowie die Ächtung autonomtötender Waffensysteme.,105.0,cdu,2021,9
216,"Die Bundeswehr muss über alle modernen Technologien verfügen, die zur Verteidigung nötig sind.",104.0,cdu,2021,9
217,Dazu zählen auch unbemannte und KI-integrierende Systeme.,104.0,cdu,2021,9
220,Wir wollen die Unabhängigkeit der östlichen Partner der EU stärken sowie ihre politische und wirtschaftliche Modernisierung zu europäischen Rechtsstaaten tatkräftig fördern.,202.1,cdu,2021,9
221,"Unser Ziel bleibt, die europäische Friedensordnung wiederherzustellen, die durch die völkerrechtswidrige Annexion der Krim durch Russland außer Kraft gesetzt wurde.",106.0,cdu,2021,9
222,Wir werden uns weiterhin für ein Ende des Konflikts in der Ostukraine und für eine Rückkehr zum legitimen völkerrechtlichen Status der Krim einsetzen.,106.0,cdu,2021,9
223,"Solange die russische Regierung dazu nicht bereit ist, müssen die Sanktionen bestehen bleiben.",109.0,cdu,2021,9
224,"Wir stehen an der Seite der Menschen in Belarus, die sich für Freiheit und Demokratie einsetzen.",202.1,cdu,2021,9
225,Das Regime muss den Weg zu einem friedlichen Übergang freimachen oder andernfalls die Härte unserer Sanktionen zu spüren bekommen.,106.0,cdu,2021,9
227,Russland fordert unsere Werte heraus.,202.1,cdu,2021,9
228,"Wir wollen nicht, dass daraus wieder eine ernsthafte militärische Bedrohung für uns in Europa wird.",104.0,cdu,2021,9
229,"Um eigene Interessen durchzusetzen, greift die russische Regierung mittlerweile zu offenen Drohungen gegen NATO-Verbündete, zu Cyberangriffen, zu Desinformation und Propaganda.",104.0,cdu,2021,9
230,"Wir brauchen in der EU und NATO zum einen mehr politische Geschlossenheit und zum anderen die Fähigkeit zur glaubhaften Abschreckung und Resilienz, um diesen Herausforderungen zu begegnen.",104.0,cdu,2021,9
231,"Wir suchen zugleich weiter den Dialog und die Zusammenarbeit mit Russland dort, wo gemeinsame Interessen bestehen.",107.0,cdu,2021,9
232,So ist beispielsweise weltweiter Klimaschutz ohne Russland nicht wirkungsvoll und wirtschaftliche Zusammenarbeit im allseitigen Interesse.,107.0,cdu,2021,9
234,Die Sicherheit Deutschlands und Europas hängt mit der Stabilität der Staaten im südlichen Mittelmeerraum sowie im Nahen und Mittleren Osten zusammen.,104.0,cdu,2021,9
235,"Wenn dort Terror und wirtschaftliche Perspektivlosigkeit herrschen, werden viele Menschen versuchen, nach Europa zu fliehen.",601.2,cdu,2021,9
236,Deutschland und Europa müssen mittels Prävention und Vermittlung mehr Verantwortung in der Region übernehmen.,107.0,cdu,2021,9
237,Durch humanitäre Hilfe für Flüchtlinge und Programme wie die Beschäftigungsoffensive „Cash for Work“ verbessern wir die Lebensperspektiven der Menschen vor Ort.,107.0,cdu,2021,9
238,Zugleich unterstützen wir die Staaten der Region im Kampf gegen den Terrorismus.,107.0,cdu,2021,9
239,Gerade mit den Anrainerstaaten im Mittelmeerraum bieten sich auch neue Chancen der Zusammenarbeit - etwa auf dem Feld des grünen Wasserstoffs - die der europäischen Nachbarschaftspolitik neue Impulse verleihen und unsere Nachbarn enger an unsere Wertegemeinschaft binden können.,107.0,cdu,2021,9
241,Wir bekennen uns zu der besonderen Verantwortung Deutschlands gegenüber Israel.,101.0,cdu,2021,9
242,Die Sicherheit und das Existenzrecht Israels sind Teil der deutschen Staatsräson.,101.0,cdu,2021,9
243,"Die Menschen in Israel haben ein Anrecht darauf, frei von Angst, Terror und Gewalt leben zu können.",101.0,cdu,2021,9
244,Deshalb stehen wir zum Selbstverteidigungsrecht von Israel.,101.0,cdu,2021,9
245,"Wir treten dafür ein, dass der Iran seine Verpflichtungen aus der Wiener Nuklearvereinbarung von 2015 (JCPOA) strikt einhält und sein ballistisches Raketenprogramm und seine aggressive Rolle in der Region beendet.",105.0,cdu,2021,9
246,"Wir unterstützen alles, was ein friedliches Zusammenleben von Israelis und Palästinensern fördert und eine Zweistaatenlösung ermöglicht.",106.0,cdu,2021,9
247,"Wir wollen auf dieser festen Basis unsere enge und freundschaftliche Zusammenarbeit mit Israel in allen Politikbereichen weiter ausbauen, insbesondere beim Jugendaustausch, in der Hochtechnologie und bei der Förderung von Startups.",101.0,cdu,2021,9
250,Das 21. Jahrhundert wird wesentlich von den Ländern Asiens und des Pazifiks geprägt werden.,107.0,cdu,2021,9
251,Wir setzen uns daher für enge Partnerschaften mit ihnen ein.,107.0,cdu,2021,9
252,"Demokratien wie Australien, Neuseeland, Japan, Indien und Südkorea, die für die Stärkung der regelbasierten internationalen Ordnung eintreten, sind unsere natürlichen Kooperations- und Wertepartner.",107.0,cdu,2021,9
253,Mit der Entsendung einer deutschen Fregatte in den asiatisch-pazifischen Raum zeigen wir Präsenz und setzen das richtige Signal in Abstimmung mit unseren Partnern.,104.0,cdu,2021,9
255,Die größte außen- und sicherheitspolitische Herausforderung geht heute von der Volksrepublik China aus.,109.0,cdu,2021,9
256,"Sie ist Wettbewerber, Kooperationspartner,",107.0,cdu,2021,9
257,aber auch systemischer Rivale.,202.1,cdu,2021,9
258,"China hat den Willen und zusehends auch den Machtanspruch, die internationale Ordnung nach eigenen Vorstellungen zu prägen und zu verändern - und tut dies mit allen Mitteln.",202.1,cdu,2021,9
259,China nimmt durch Technologie- und Infrastrukturinvestitionen Einfluss auf andere Staaten und schafft geostrategische Abhängigkeiten.,109.0,cdu,2021,9
260,"Wir brauchen daher einen zweifachen Ansatz: Einerseits müssen wir dort, wo es nötig ist, Chinas Machtwillen in enger Abstimmung mit unseren transatlantischen Partnern und anderen gleichgesinnten Demokratien mit Stärke und Geschlossenheit entgegentreten.",202.1,cdu,2021,9
261,"Das gilt insbesondere beim Schutz des geistigen Eigentums, unserer Hochtechnologie und unserer Daten, damit wir nicht in gefährliche Abhängigkeiten geraten.",202.1,cdu,2021,9
262,"Andererseits wollen wir dort, wo es möglich ist, eine Zusammenarbeit mit China anstreben.",107.0,cdu,2021,9
263,Eine echte Partnerschaft ist nur im Rahmen eines fairen Wettbewerbs unter gleichen Bedingungen und bei Wahrung des Prinzips der Gegenseitigkeit möglich.,107.0,cdu,2021,9
264,"Damit diese Balance auf europäischer Ebene gelingt, setzen wir uns für eine europäische China-Strategie und ein gemeinsames Vorgehen des Westens ein.",107.0,cdu,2021,9
267,Der Schutz von Frieden und Freiheit ist die vornehmste Aufgabe des Staates.,104.0,cdu,2021,9
268,Die Bürgerinnen und Bürger unseres Landes müssen sich auf eine glaubwürdige Sicherheitsvorsorge verlassen können.,104.0,cdu,2021,9
269,"CDU und CSU sind Garanten dafür, dass Deutschland dies nicht zu Lasten unserer Kinder und Enkel vernachlässigt.",503.0,cdu,2021,9
270,Wir verstehen uns als Parteien der Bundeswehr.,104.0,cdu,2021,9
271,"Wer wie unsere Soldatinnen und Soldaten Verantwortung in schwierigen Einsätzen übernimmt, hat Anspruch auf die beste Ausrüstung.",104.0,cdu,2021,9
272,Wir werden allen unseren militärischen Verpflichtungen nachkommen und die Vollausstattung der Bundeswehr erreichen.,104.0,cdu,2021,9
273,Deshalb werden wir die Zahl der Soldatinnen und Soldaten der Bundeswehr gemäß Personalstrukturmodell auf 203 000 aufstocken.,104.0,cdu,2021,9
274,"Wir stehen zu unseren Zusagen im Rahmen der NATO und der EU, den Verteidigungshaushalt auf zwei Prozent des Bruttoinlandsprodukts weiter zu erhöhen.",104.0,cdu,2021,9
275,Damit erhält auch die Bundeswehr Planungssicherheit.,104.0,cdu,2021,9
276,"Spätestens bis 2030 wollen wir die Bundeswehr dazu befähigen, mindestens zehn Prozent der militärischen Fähigkeiten des Bündnisses bereitzustellen.",104.0,cdu,2021,9
277,Damit leisten wir einen entscheidenden Beitrag für eine faire Lastenteilung und für den Zusammenhalt in der NATO.,104.0,cdu,2021,9
278,Dieser Beitrag ist Voraussetzung für unsere Bündnisfähigkeit - und damit in unserem eigenen Interesse.,104.0,cdu,2021,9
279,Landesverteidigung ist heute Bündnisverteidigung.,104.0,cdu,2021,9
280,Deutschland kann dies nur gemeinsam mit seinen Partnern leisten.,104.0,cdu,2021,9
281,Deswegen muss die Bundeswehr den Weg der Kooperation und Integration mit den Streitkräften in Europa und von Verbündeten weiter beschreiten und dabei auf eine gemeinsame strategische Kultur hinarbeiten.,104.0,cdu,2021,9
282,"An Auslandseinsätzen werden wir uns immer dann mit Bündnispartnern beteiligen, wenn deutsche Sicherheitsinteressen gefährdet sind.",104.0,cdu,2021,9
284,"Die Soldatinnen und Soldaten der Bundeswehr arbeiten tagtäglich dafür, dass wir in Frieden, Freiheit und Sicherheit leben können.",104.0,cdu,2021,9
285,"Zugleich stehen sie bereit, um in Not- und Katastrophenfällen auch im Inland zu helfen.",104.0,cdu,2021,9
286,Soldatinnen und Soldaten verdienen unseren Respekt und unsere Anerkennung.,104.0,cdu,2021,9
287,Die Bundeswehr hat einen festen Platz in der Mitte unserer Gesellschaft.,104.0,cdu,2021,9
288,Damit gehört sie auch ganz selbstverständlich in unsere Schulen.,104.0,cdu,2021,9
289,Die Jugendoffiziere leisten hier eine wertvolle Arbeit.,104.0,cdu,2021,9
290,"Wir wollen sie ausbauen und dafür sorgen, dass der Besuch der Jugendoffiziere einen festen Platz in der Schullaufbahn hat.",104.0,cdu,2021,9
291,"Das kostenlose Bahnfahren für unsere Soldatinnen und Soldaten ist ein voller Erfolg, den wir fortsetzen und perspektivisch auf den öffentlichen Personennahverkehr ausweiten wollen.",104.0,cdu,2021,9
292,Der Eid auf unser Land gehört in die Mitte unserer Gesellschaft.,601.1,cdu,2021,9
293,"Deshalb wollen wir, dass Gelöbnisse grundsätzlich in der Öffentlichkeit stattfinden.",601.1,cdu,2021,9
294,"Um ihre Aufgaben erfüllen zu können, braucht die Bundeswehr eine einsatzbereite Reserve.",104.0,cdu,2021,9
295,Wir wollen den freiwilligen Wehrdienst im Heimatschutz fortführen.,104.0,cdu,2021,9
296,"Damit geben wir jungen Menschen die Chance, eine Zeit lang in der Bundeswehr zu dienen und danach die Reserve zu stärken.",104.0,cdu,2021,9
297,Für Extremisten ist in der Bundeswehr kein Platz.,605.1,cdu,2021,9
299,Die Bundeswehr muss optimal ausgerüstet und organisiert sein.,104.0,cdu,2021,9
300,Die Eckpunkte für die Bundeswehr der Zukunft dienen dafür als Leitfaden.,104.0,cdu,2021,9
301,"Wir werden das Beschaffungswesen erneuern, damit sie ihr Material zügig erhält.",104.0,cdu,2021,9
302,"Wir müssen neue Fähigkeiten im Cyber- und Informationsraum sowie im Weltraum aufbauen und streben eine rechtliche Regelung der militärischen Nutzung von KI, Cyber- und Weltraumfähigkeiten an.",104.0,cdu,2021,9
303,Zum Schutz unserer Soldatinnen und Soldaten und im Einsatz setzen wir uns für die militärisch heute selbstverständliche Bewaffnung von Drohnen ein.,104.0,cdu,2021,9
304,"Die jüngsten Kämpfe um die Region Bergkarabach haben deutlich gemacht, wie stark kriegerische Auseinandersetzungen von Drohnen geprägt werden.",104.0,cdu,2021,9
305,"Wir müssen unsere Soldatinnen und Soldaten in die Lage versetzen, diese Gefahren zu ihrem Schutz wirksam abwehren zu können.",104.0,cdu,2021,9
